order_id,customer_id,order_date,amount,currency,status,ingested_at
O1001,C001,2024-03-01,120.50,INR,paid,2024-03-02T01:00:00
O1002,C002,2024-03-02,45.00,USD,shipped,2024-03-03T01:00:00
O1003,C003,2024-03-03,-10.00,MXN,paid,2024-03-04T01:00:00
O1004,C005,2024-03-04,200.00,NGN,pending,2024-03-05T01:00:00
O1005,C006,2024-03-05,89.99,EUR,paid,2024-03-06T01:00:00
O1006,C008,2024-03-06,1500,JPY,shipped,2024-03-07T01:00:00
O1007,C010,2024-03-07,,USD,paid,2024-03-08T01:00:00
O1008,C012,2024-03-08,75.25,EUR,cancelled,2024-03-09T01:00:00
O1002,C002,2024-03-02,45.00,USD,shipped,2024-03-03T01:00:00
O1009,C999,2024-03-09,30.00,USD,paid,2024-03-10T01:00:00
O1010,C001,2024-03-10,55.00,INR,UNKNOWN,2024-03-11T01:00:00
O1011,C005,2024-03-11,12.00,NGN,refunded,2024-03-12T01:00:00
O1012,,2024-03-12,99.00,USD,paid,2024-03-13T01:00:00
