batch_id,material,plant,stage,stage_order,start_ts,end_ts,stage_lead_time_days,mseg_line_count
BATCH001,RM-API-100,SG01,supplier,1,2024-01-02 08:00:00,2024-01-03 17:00:00,1.38,2
BATCH001,RM-API-100,SG01,raw_material_procurement,2,2024-01-04 09:00:00,2024-01-06 15:00:00,2.25,2
BATCH001,RM-API-100,SG01,inbound_logistics,3,2024-01-07 06:00:00,2024-01-09 18:00:00,2.5,2
BATCH001,RM-API-100,SG01,raw_material_receipt,4,2024-01-10 08:30:00,2024-01-10 11:00:00,0.1,2
BATCH001,RM-API-100,SG01,quality_inspection_and_release,5,2024-01-11 09:00:00,2024-01-15 16:00:00,4.29,2
BATCH001,RM-API-100,SG01,manufacturing,6,2024-01-16 06:00:00,2024-01-24 20:00:00,8.58,2
BATCH001,FG-TAB-200,SG01,packaging,7,2024-01-25 07:00:00,2024-01-27 18:00:00,2.46,2
BATCH001,FG-TAB-200,SG01,finished_goods,8,2024-01-28 09:00:00,2024-01-29 14:00:00,1.21,2
BATCH001,FG-TAB-200,SG01,warehouse,9,2024-01-30 08:00:00,2024-01-31 16:00:00,1.33,2
BATCH001,FG-TAB-200,SG01,distribution_center,10,2024-02-01 07:00:00,2024-02-03 15:00:00,2.33,2
BATCH001,FG-TAB-200,DC01,customer_shipment,11,2024-02-04 09:00:00,2024-02-05 12:00:00,1.13,2
BATCH001,FG-TAB-200,DC01,customer,12,2024-02-06 10:00:00,2024-02-07 16:00:00,1.25,2
BATCH002,RM-EXC-300,UK01,supplier,1,2024-03-01 08:00:00,2024-03-02 12:00:00,1.17,2
BATCH002,RM-EXC-300,UK01,raw_material_procurement,2,2024-03-03 09:00:00,2024-03-07 17:00:00,4.33,2
BATCH002,RM-EXC-300,UK01,inbound_logistics,3,2024-03-08 06:00:00,2024-03-12 20:00:00,4.58,2
BATCH002,RM-EXC-300,UK01,raw_material_receipt,4,2024-03-13 09:00:00,2024-03-13 11:00:00,0.08,2
BATCH002,RM-EXC-300,UK01,quality_inspection_and_release,5,2024-03-14 08:00:00,2024-03-22 16:00:00,8.33,3
BATCH002,RM-EXC-300,UK01,manufacturing,6,2024-03-23 06:00:00,2024-04-02 21:00:00,10.63,2
BATCH002,FG-INJ-400,UK01,packaging,7,2024-04-03 07:00:00,2024-04-05 18:00:00,2.46,2
BATCH002,FG-INJ-400,UK01,finished_goods,8,2024-04-06 09:00:00,2024-04-07 12:00:00,1.13,2
BATCH002,FG-INJ-400,UK01,warehouse,9,2024-04-08 08:00:00,2024-04-10 17:00:00,2.38,2
BATCH002,FG-INJ-400,UK01,distribution_center,10,2024-04-11 07:00:00,2024-04-14 16:00:00,3.38,2
BATCH002,FG-INJ-400,DC02,customer_shipment,11,2024-04-15 09:00:00,2024-04-16 13:00:00,1.17,2
BATCH002,FG-INJ-400,DC02,customer,12,2024-04-17 10:00:00,2024-04-18 15:00:00,1.21,2
BATCH003,RM-API-100,US01,supplier,1,2024-05-01 08:00:00,2024-05-01 08:00:00,0.0,1
BATCH003,RM-API-100,US01,raw_material_procurement,2,2024-05-03 10:00:00,2024-05-03 10:00:00,0.0,1
