MBLNR,MJAHR,ZEILE,MATNR,WERKS,CHARG,BWART,MENGE,MEINS,BUDAT,CPUDT_TIME,LGORT,LIFNR,KUNNR,AUFNR,VBELN,SGTXT,stage,event_ts
4900000001,2024,1,RM-API-100,SG01,BATCH001,Z01,1000,KG,2024-01-02,2024-01-02 08:00:00,RAW1,V1001,,,Supplier commit,,supplier,2024-01-02 08:00:00
4900000001,2024,2,RM-API-100,SG01,BATCH001,Z01,1000,KG,2024-01-03,2024-01-03 17:00:00,RAW1,V1001,,,Supplier ready,,supplier,2024-01-03 17:00:00
4900000002,2024,1,RM-API-100,SG01,BATCH001,Z02,1000,KG,2024-01-04,2024-01-04 09:00:00,RAW1,V1001,,,PO procurement start,,raw_material_procurement,2024-01-04 09:00:00
4900000002,2024,2,RM-API-100,SG01,BATCH001,Z02,1000,KG,2024-01-06,2024-01-06 15:00:00,RAW1,V1001,,,PO confirmed,,raw_material_procurement,2024-01-06 15:00:00
4900000003,2024,1,RM-API-100,SG01,BATCH001,Z03,1000,KG,2024-01-07,2024-01-07 06:00:00,TRANS,V1001,,,In transit pickup,,inbound_logistics,2024-01-07 06:00:00
4900000003,2024,2,RM-API-100,SG01,BATCH001,561,1000,KG,2024-01-09,2024-01-09 18:00:00,TRANS,V1001,,,Inbound arrived yard,,inbound_logistics,2024-01-09 18:00:00
4900000004,2024,1,RM-API-100,SG01,BATCH001,101,1000,KG,2024-01-10,2024-01-10 08:30:00,RAW1,V1001,,,GR for PO,,raw_material_receipt,2024-01-10 08:30:00
4900000004,2024,2,RM-API-100,SG01,BATCH001,103,1000,KG,2024-01-10,2024-01-10 11:00:00,QI01,V1001,,,GR to QI stock,,raw_material_receipt,2024-01-10 11:00:00
4900000005,2024,1,RM-API-100,SG01,BATCH001,321,1000,KG,2024-01-11,2024-01-11 09:00:00,QI01,V1001,,,QI sampling start,,quality_inspection_and_release,2024-01-11 09:00:00
4900000005,2024,2,RM-API-100,SG01,BATCH001,105,1000,KG,2024-01-15,2024-01-15 16:00:00,RAW2,V1001,,,Released to unrestricted,,quality_inspection_and_release,2024-01-15 16:00:00
4900000006,2024,1,RM-API-100,SG01,BATCH001,261,800,KG,2024-01-16,2024-01-16 06:00:00,RAW2,,PO1001,,GI to process order,,manufacturing,2024-01-16 06:00:00
4900000006,2024,2,FG-TAB-200,SG01,BATCH001,101F,5000,EA,2024-01-24,2024-01-24 20:00:00,PRD1,,PO1001,,GR from production,,manufacturing,2024-01-24 20:00:00
4900000007,2024,1,FG-TAB-200,SG01,BATCH001,Z04,5000,EA,2024-01-25,2024-01-25 07:00:00,PKG1,,,Packaging start,,,packaging,2024-01-25 07:00:00
4900000007,2024,2,FG-TAB-200,SG01,BATCH001,309,5000,EA,2024-01-27,2024-01-27 18:00:00,PKG1,,,Pack conversion done,,,packaging,2024-01-27 18:00:00
4900000008,2024,1,FG-TAB-200,SG01,BATCH001,501,5000,EA,2024-01-28,2024-01-28 09:00:00,FG01,,,FG putaway start,,,finished_goods,2024-01-28 09:00:00
4900000008,2024,2,FG-TAB-200,SG01,BATCH001,Z05,5000,EA,2024-01-29,2024-01-29 14:00:00,FG01,,,FG available,,,finished_goods,2024-01-29 14:00:00
4900000009,2024,1,FG-TAB-200,SG01,BATCH001,311,5000,EA,2024-01-30,2024-01-30 08:00:00,FG01,,,WH transfer start,,,warehouse,2024-01-30 08:00:00
4900000009,2024,2,FG-TAB-200,SG01,BATCH001,315,5000,EA,2024-01-31,2024-01-31 16:00:00,WH01,,,WH putaway complete,,,warehouse,2024-01-31 16:00:00
4900000010,2024,1,FG-TAB-200,SG01,BATCH001,641,5000,EA,2024-02-01,2024-02-01 07:00:00,WH01,,,STO to DC GI,,,distribution_center,2024-02-01 07:00:00
4900000010,2024,2,FG-TAB-200,DC01,BATCH001,Z07,5000,EA,2024-02-03,2024-02-03 15:00:00,DC01,,,DC goods receipt,,,distribution_center,2024-02-03 15:00:00
4900000011,2024,1,FG-TAB-200,DC01,BATCH001,601,5000,EA,2024-02-04,2024-02-04 09:00:00,DC01,,C9001,DN9001,GI delivery,,customer_shipment,2024-02-04 09:00:00
4900000011,2024,2,FG-TAB-200,DC01,BATCH001,601,0,EA,2024-02-05,2024-02-05 12:00:00,DC01,,C9001,DN9001,Shipment confirmed,,customer_shipment,2024-02-05 12:00:00
4900000012,2024,1,FG-TAB-200,DC01,BATCH001,Z06,5000,EA,2024-02-06,2024-02-06 10:00:00,,,C9001,DN9001,Customer POD start,,customer,2024-02-06 10:00:00
4900000012,2024,2,FG-TAB-200,DC01,BATCH001,Z06,5000,EA,2024-02-07,2024-02-07 16:00:00,,,C9001,DN9001,Customer received,,customer,2024-02-07 16:00:00
4900000101,2024,1,RM-EXC-300,UK01,BATCH002,Z01,500,KG,2024-03-01,2024-03-01 08:00:00,RAW1,V2002,,,Supplier commit,,supplier,2024-03-01 08:00:00
4900000101,2024,2,RM-EXC-300,UK01,BATCH002,Z01,500,KG,2024-03-02,2024-03-02 12:00:00,RAW1,V2002,,,Supplier ready,,supplier,2024-03-02 12:00:00
4900000102,2024,1,RM-EXC-300,UK01,BATCH002,Z02,500,KG,2024-03-03,2024-03-03 09:00:00,RAW1,V2002,,,Procurement,,raw_material_procurement,2024-03-03 09:00:00
4900000102,2024,2,RM-EXC-300,UK01,BATCH002,Z02,500,KG,2024-03-07,2024-03-07 17:00:00,RAW1,V2002,,,PO delay,,raw_material_procurement,2024-03-07 17:00:00
4900000103,2024,1,RM-EXC-300,UK01,BATCH002,Z03,500,KG,2024-03-08,2024-03-08 06:00:00,TRANS,V2002,,,Inbound start,,inbound_logistics,2024-03-08 06:00:00
4900000103,2024,2,RM-EXC-300,UK01,BATCH002,561,500,KG,2024-03-12,2024-03-12 20:00:00,TRANS,V2002,,,Slow customs,,inbound_logistics,2024-03-12 20:00:00
4900000104,2024,1,RM-EXC-300,UK01,BATCH002,101,500,KG,2024-03-13,2024-03-13 09:00:00,RAW1,V2002,,,GR,,raw_material_receipt,2024-03-13 09:00:00
