batch_id,material,plant,from_stage,to_stage,from_end_ts,to_start_ts,d2d_lead_time_days
BATCH001,RM-API-100,SG01,supplier,raw_material_procurement,2024-01-03 17:00:00,2024-01-04 09:00:00,0.67
BATCH001,RM-API-100,SG01,raw_material_procurement,inbound_logistics,2024-01-06 15:00:00,2024-01-07 06:00:00,0.63
BATCH001,RM-API-100,SG01,inbound_logistics,raw_material_receipt,2024-01-09 18:00:00,2024-01-10 08:30:00,0.6
BATCH001,RM-API-100,SG01,raw_material_receipt,quality_inspection_and_release,2024-01-10 11:00:00,2024-01-11 09:00:00,0.92
BATCH001,RM-API-100,SG01,quality_inspection_and_release,manufacturing,2024-01-15 16:00:00,2024-01-16 06:00:00,0.58
BATCH001,RM-API-100,SG01,manufacturing,packaging,2024-01-24 20:00:00,2024-01-25 07:00:00,0.46
BATCH001,FG-TAB-200,SG01,packaging,finished_goods,2024-01-27 18:00:00,2024-01-28 09:00:00,0.63
BATCH001,FG-TAB-200,SG01,finished_goods,warehouse,2024-01-29 14:00:00,2024-01-30 08:00:00,0.75
BATCH001,FG-TAB-200,SG01,warehouse,distribution_center,2024-01-31 16:00:00,2024-02-01 07:00:00,0.63
BATCH001,FG-TAB-200,SG01,distribution_center,customer_shipment,2024-02-03 15:00:00,2024-02-04 09:00:00,0.75
BATCH001,FG-TAB-200,DC01,customer_shipment,customer,2024-02-05 12:00:00,2024-02-06 10:00:00,0.92
BATCH002,RM-EXC-300,UK01,supplier,raw_material_procurement,2024-03-02 12:00:00,2024-03-03 09:00:00,0.88
BATCH002,RM-EXC-300,UK01,raw_material_procurement,inbound_logistics,2024-03-07 17:00:00,2024-03-08 06:00:00,0.54
BATCH002,RM-EXC-300,UK01,inbound_logistics,raw_material_receipt,2024-03-12 20:00:00,2024-03-13 09:00:00,0.54
BATCH002,RM-EXC-300,UK01,raw_material_receipt,quality_inspection_and_release,2024-03-13 11:00:00,2024-03-14 08:00:00,0.88
BATCH002,RM-EXC-300,UK01,quality_inspection_and_release,manufacturing,2024-03-22 16:00:00,2024-03-23 06:00:00,0.58
BATCH002,RM-EXC-300,UK01,manufacturing,packaging,2024-04-02 21:00:00,2024-04-03 07:00:00,0.42
BATCH002,FG-INJ-400,UK01,packaging,finished_goods,2024-04-05 18:00:00,2024-04-06 09:00:00,0.63
BATCH002,FG-INJ-400,UK01,finished_goods,warehouse,2024-04-07 12:00:00,2024-04-08 08:00:00,0.83
BATCH002,FG-INJ-400,UK01,warehouse,distribution_center,2024-04-10 17:00:00,2024-04-11 07:00:00,0.58
BATCH002,FG-INJ-400,UK01,distribution_center,customer_shipment,2024-04-14 16:00:00,2024-04-15 09:00:00,0.71
BATCH002,FG-INJ-400,DC02,customer_shipment,customer,2024-04-16 13:00:00,2024-04-17 10:00:00,0.88
BATCH003,RM-API-100,US01,supplier,raw_material_procurement,2024-05-01 08:00:00,2024-05-03 10:00:00,2.08
